quintile,label,stock_count,avg_score,avg_return_pct,winsorized_avg,median_return_pct,hit_rate_positive
1,"Q1 (Top 20%)",15,72.01,59.53,59.53,48.27,93.33
2,"Q2 (20-40%)",15,66.81,55.52,55.52,47.02,93.33
3,"Q3 (40-60%)",15,63.68,63.12,60.59,46.03,100.00
4,"Q4 (60-80%)",15,59.22,58.27,53.48,28.43,80.00
5,"Q5 (Bottom 20%)",11,49.62,87.99,79.02,63.27,100.00
