sector,stock_count,avg_score,avg_return_pct,median_return_pct,correlation,best_stock,best_return,worst_stock,worst_return
"Readymade Garments/ Apparells",15,55.13,-29.93,-39.13,-0.422,"Pearl Global Industries Ltd",10.05,"Vedant Fashions Ltd",-68.22
"Engineering",13,54.37,-16.7,-14.14,0.447,"Mewar Hi-Tech Engineering Ltd",16.88,"Affordable Robotic & Automation Ltd",-71.16
"Telecom Equipment & Infra Services",12,55.41,-11.89,-31.61,-0.043,"Valiant Communications Ltd",180.9,"Tejas Networks Ltd",-74.04
"Printing & Stationery",12,54.14,-32.62,-33.76,0.605,"Navneet Education Ltd",8.55,"Gala Global Products Ltd",-57.06
"Plywood Boards/Laminates",12,58.69,-23.96,-24.92,-0.072,"Ambition Mica Ltd",0,"Rushil Decor Ltd",-44.63
"Telecom-Service",12,51.67,-27.08,-31.79,-0.188,"Vodafone Idea Ltd",43.64,"Nettlinx Ltd",-76.58
"Bearings",10,60.61,-18.63,-13.94,0.356,"Schaeffler India Ltd",28.23,"Galaxy Bearings Ltd",-54.38
"Petrochemicals",10,56.88,-29.44,-34.03,-0.094,"Tamil Nadu Petro Products Ltd",13.62,"Agarwal Industrial Corporation Ltd",-57.58
"Electronics",9,51.99,5.62,-15.4,0.513,"CWD Ltd",89,"Danlaw Technologies India Ltd",-60.81
"Tyres",9,64.11,-2.58,-10.16,0.606,"JK Tyre & Industries Ltd",39.95,"Tirupati Innovar Limited",-50.18
"Shipping",9,47.04,-25.34,-32.2,0.195,"Great Eastern Shipping Company Ltd",39.03,"Seacoast Shipping Services Ltd",-75.85
"Glass & Glass Products",8,60.17,-17.62,-20.59,-0.096,"Asahi India Glass Ltd",25.02,"Haldyn Glass Ltd",-40.17
"Refractories",8,57.14,-12.49,-14.37,0.413,"Vesuvius India Ltd",7.68,"Orient Ceratech Ltd",-24.34
"Ferro Alloys",8,47.98,-14.03,-14.59,0.358,"Indian Metals & Ferro Alloys Ltd",45.83,"Shyam Century Ferrous Ltd",-61.64
"Paints/Varnish",7,74.67,-10.73,-11.21,0.364,"Sirca Paints India Ltd",38.51,"Shalimar Paints Ltd",-57.09
"Gas Distribution",7,67.05,-13.71,-14.8,0.549,"Mahanagar Gas Ltd",-3.71,"Gujarat Gas Ltd",-19.71
"Refineries",7,67.03,17.54,30.55,0.372,"Chennai Petroleum Corporation Ltd",54.07,"Resgen Ltd",-48.59
"IT - Hardware",7,55.87,-23.25,-25.33,0.206,"TVS Electronics Ltd",-3.85,"Cerebra Integrated Technologies Ltd",-49.14
"Quick Service Restaurant",7,65.32,-23.47,-26.63,-0.415,"Coffee Day Enterprises Ltd",27.07,"United Foodbrands Ltd",-47.42
"Crude Oil & Natural Gas",7,56.63,48.63,-18.31,-0.724,"Gujarat Natural Resources Ltd",438.2,"Deep Industries Ltd",-39.93
"Ceramic Products",7,59.84,-20.14,-15.54,-0.641,"Asian Granito India Ltd",7.95,"Murudeshwar Ceramics Ltd",-39.12
"Tobacco Products",7,53.32,64.78,-28.1,-0.46,"Elitecon International Ltd",559.11,"The Indian Wood Products Company Ltd",-41.25
"Cement - Products",7,51.96,-33.74,-39.38,-0.007,"Ramco Industries Ltd",7.98,"Kanoria Energy & Infrastructure Ltd",-51.83
"Ship Building",6,47.86,12635.32,-4.69,-0.258,"Swan Defence and Heavy Industries Ltd",75842.73,"VMS Industries Ltd",-37.81
"Computer Education",6,52.2,-42.08,-43.07,0.146,"Jetking Infotrain Ltd",-16.86,"NIIT Ltd",-60.49
"Infrastructure Investment Trusts",5,59.74,6.55,5.58,-0.15,"National Highways Infra Trust",15.05,"Energy Infrastructure Trust",-6.07
"Financial Services",4,60.44,1.32,-27.71,0,"Multi Commodity Exchange of India Ltd",93.04,"KFin Technologies Ltd",-32.33
"Air Transport Service",4,50.14,-38.09,-38.41,0,"TAAL Tech Ltd",-0.86,"SpiceJet Ltd",-74.69
"Credit Rating Agencies",3,66.52,-2.84,-8.34,0,"CARE Ratings Ltd",20.5,"CRISIL Ltd",-20.68
"Real Estate Investment Trusts",3,65.46,23.41,23.67,0,"Mindspace Business Parks REIT",32.09,"Embassy Office Parks REIT",14.46
"Insurance",3,55.78,22.92,18.12,0,"SBI Life Insurance Company Ltd",49.51,"ICICI Prudential Life Insurance Company Ltd",1.13
"Dry cells",3,51.31,-30.57,-36.03,0,"Eveready Industries India Ltd",-18.01,"Indo National Ltd",-37.66
"Oil Drill/Allied",2,51.9,-25.93,-25.93,0,"Duke Offshore Ltd",-12.19,"Jindal Drilling & Industries Ltd",-39.67
"Marine Port & Services",2,52.04,14.16,14.16,0,"Adani Ports & Special Economic Zone Ltd",29.25,"Gujarat Pipavav Port Ltd",-0.94
"Railways",1,63.45,-23.26,-23.26,0,"Indian Railway Catering & Tourism Corporation Ltd",-23.26,"Indian Railway Catering & Tourism Corporation Ltd",-23.26
"Power Infrastructure",1,54.34,-35.45,-35.45,0,"Waaree Renewable Technologies Ltd",-35.45,"Waaree Renewable Technologies Ltd",-35.45
"Telecom-Handsets/Mobile",1,30.83,0,0,0,"Prabhat Technologies (India) Ltd",0,"Prabhat Technologies (India) Ltd",0
