Label,Value,Decimals,UnitId,Description,Key
CurrentAssets,1230110000000,-7,INR,Total current assets,CurrentAssetsTotalCurrentAssets
NoncurrentAssetsClassifiedAsHeldForSale,0,-7,INR,Non-current assets classified as held for sale,NoncurrentAssetsClassifiedAsHeldForSaleNonCurrentAssetsClassifiedAsHeldForSale
RegulatoryDeferralAccountDebitBalancesAndRelatedDeferredTaxAssets,0,-7,INR,Regulatory deferral account debit balances and related deferred tax Assets,RegulatoryDeferralAccountDebitBalancesAndRelatedDeferredTaxAssets
Assets,1596290000000,-7,INR,Total assets,AssetsTotalAssets
EquityShareCapital,3620000000,-7,INR,Equity share capital,EquityShareCapital
OtherEquity,943940000000,-7,INR,Other equity,OtherEquity
EquityAttributableToOwnersOfParent,947560000000,-7,INR,Total equity attributable to owners of parent,EquityAttributableToOwnersOfParentTotalEquityAttributableToOwnersOfParent
NonControllingInterest,10150000000,-7,INR,Non-controlling interest,NonControllingInterest
Equity,957710000000,-7,INR,Total equity,EquityTotalEquity
BorrowingsNoncurrent,0,-7,INR,Borrowings non-current,BorrowingsNoncurrentBorrowingsNonCurrent
TotalOutstandingDuesOfMicroEnterpriseAndSmallEnterpriseNoncurrent,0,-7,INR,Total outstanding dues of micro enterprise and small enterprise non-current,TotalOutstandingDuesOfMicroEnterpriseAndSmallEnterpriseNoncurrentTotalOutstandingDuesOfMicroEnterpriseAndSmallEnterpriseNonCurrent
TotalOutstandingDuesOfCreditorsOtherThanMicroEnterpriseAndSmallEnterpriseNoncurrent,0,-7,INR,Total outstanding dues of creditors other than micro enterprise and small enterprise non-current,TotalOutstandingDuesOfCreditorsOtherThanMicroEnterpriseAndSmallEnterpriseNoncurrentTotalOutstandingDuesOfCreditorsOtherThanMicroEnterpriseAndSmallEnterpriseNonCurrent
TradePayablesNoncurrent,0,-7,INR,Total trade payables non-current,TradePayablesNoncurrentTotalTradePayablesNonCurrent
OtherNoncurrentFinancialLiabilities,85180000000,-7,INR,Other non-current financial liabilities,OtherNoncurrentFinancialLiabilitiesOtherNonCurrentFinancialLiabilities
NoncurrentFinancialLiabilities,85180000000,-7,INR,Total non-current financial liabilities,NoncurrentFinancialLiabilitiesTotalNonCurrentFinancialLiabilities
ProvisionsNoncurrent,0,-7,INR,Provisions non-current,ProvisionsNoncurrentProvisionsNonCurrent
DeferredTaxLiabilitiesNet,9800000000,-7,INR,Deferred tax liabilities (net),DeferredTaxLiabilitiesNet
OtherNoncurrentLiabilities,13590000000,-7,INR,Other non-current liabilities,OtherNoncurrentLiabilitiesOtherNonCurrentLiabilities
NoncurrentLiabilities,108570000000,-7,INR,Total non-current liabilities,NoncurrentLiabilitiesTotalNonCurrentLiabilities
BorrowingsCurrent,0,-7,INR,Borrowings current,BorrowingsCurrent
TotalOutstandingDuesOfMicroEnterpriseAndSmallEnterpriseCurrent,1570000000,-7,INR,Total outstanding dues of micro enterprise and small enterprise current,TotalOutstandingDuesOfMicroEnterpriseAndSmallEnterpriseCurrent
TotalOutstandingDuesOfCreditorsOtherThanMicroEnterpriseAndSmallEnterpriseCurrent,137520000000,-7,INR,Total outstanding dues of creditors other than micro enterprise and small enterprise current,TotalOutstandingDuesOfCreditorsOtherThanMicroEnterpriseAndSmallEnterpriseCurrent
TradePayablesCurrent,139090000000,-7,INR,Total trade payables current,TradePayablesCurrentTotalTradePayablesCurrent
OtherCurrentFinancialLiabilities,100960000000,-7,INR,Other current financial liabilities,OtherCurrentFinancialLiabilities
CurrentFinancialLiabilities,240050000000,-7,INR,Total current financial liabilities,CurrentFinancialLiabilitiesTotalCurrentFinancialLiabilities
OtherCurrentLiabilities,161010000000,-7,INR,Other current liabilities,OtherCurrentLiabilities
ProvisionsCurrent,1800000000,-7,INR,Provisions current,ProvisionsCurrent
CurrentTaxLiabilities,127150000000,-7,INR,Current tax liabilities,CurrentTaxLiabilities
DeferredGovernmentGrantsCurrent,0,-7,INR,Deferred government grants Current,DeferredGovernmentGrantsCurrent
CurrentLiabilities,530010000000,-7,INR,Total current liabilities,CurrentLiabilitiesTotalCurrentLiabilities
LiabilitiesDirectlyAssociatedWithAssetsInDisposalGroupClassifiedAsHeldForSale,0,-7,INR,Liabilities directly associated with assets in disposal group classified as held for sale,LiabilitiesDirectlyAssociatedWithAssetsInDisposalGroupClassifiedAsHeldForSale
RegulatoryDeferralAccountCreditBalancesAndRelatedDeferredTaxLiability,0,-7,INR,Regulatory deferral account credit balances and related deferred tax liability,RegulatoryDeferralAccountCreditBalancesAndRelatedDeferredTaxLiability
Liabilities,638580000000,-7,INR,Total liabilities,LiabilitiesTotalLiabilities
EquityAndLiabilities,1596290000000,-7,INR,Total equity and liabilities,EquityAndLiabilitiesTotalEquityAndLiabilities
XbrlUrl,https://www.bseindia.com/XBRLFILES/IFIndasDuplicateUploadDocument/Integrated_Finance_Ind_As_532540_11420250124_IFIndAs.xml,0,,XbrlUrl,
