Label,Value,Decimals,UnitId,Description,Key
ScripCode,532540,0,,Scrip code,ScripCode
Symbol,TCS,0,,Symbol,Symbol
MSEISymbol,NOTLISTED,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE467B01029,0,,ISIN,ISINIsin
NameOfTheCompany,Tata Consultancy Services Limited,0,,Name of the company,NameOfTheCompany
TypeOfCompany,Main Board,0,,Type of company,TypeOfCompany
DateOfStartOfFinancialYear,2024-04-01,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,2025-03-31,0,,Date of end of financial year,DateOfEndOfFinancialYear
TypeOfReportingPeriod,Quarterly,0,,Type of reporting period,TypeOfReportingPeriod
ReportingQuarter,Fourth quarter,0,,Reporting quarter,ReportingQuarter
DateOfStartOfReportingPeriod,2025-01-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2025-03-31,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
NatureOfReportStandaloneConsolidated,Standalone,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
AccountReceivableTurnoverRatio,4.3775,-7,INR,Account Receivable Turnover Ratio,AccountReceivableTurnoverRatio
AccountReceivableDays,83.3806,-7,INR,Account Receivable Days,AccountReceivableDays
AccrualRatio,0.0483,-7,INR,AccrualRatio,AccrualRatio
AssetTurnoverRatio,1.7832,-7,INR,Asset Turnover Ratio,AssetTurnoverRatio
AssetToShareholdersEquity,1.7561,-7,INR,Asset to Shareholders Equity,AssetToShareholdersEquity
CashEps,33.7956,0,INRPerShare,Cash Eps,CashEps
CfoDebtRatio,0,-7,INR,Cash Flow from Operation to Debt Ratio,CfoDebtRatio
CFROA,0.3074,-7,INR,Cash Flow Return on Assets,CFROA
CashRatio,0.0531,-7,INR,Cash Ratio,CashRatio
CashTurnoverRatio,86.0134,-7,INR,Cash Turnover Ratio,CashTurnoverRatio
CurrentRatio,2.0976,-7,INR,Current Ratio,CurrentRatio
DaysinWorkingCapital,87.7662,-7,INR,Days in Working Capital,DaysinWorkingCapital
DebtAssetsRatio,0,-7,INR,Debt Assets Ratio,DebtAssetsRatio
DebtCapitalRatio,0,-7,INR,Debt Capital Ratio,DebtCapitalRatio
DebtEbitdaRatio,0,-7,INR,Debt EBITDA Ratio,DebtEbitdaRatio
DebtEquityRatio,0,-7,INR,Debt Equity Ratio,DebtEquityRatio
DividendCoverageRatio,1.0718,0,INRPerShare,Dividend Coverage Ratio,DividendCoverageRatio
DividendPayoutRatio,93.3558,-7,INR,Dividend Payout Ratio,DividendPayoutRatio
EarningsYield,0.0368,4,INR,Earnings Yield,EarningsYield
EBITDA,159910000000,-7,INR,Earnings before Interest'| Taxes'| Depreciation and Amortization,EBITDA
EbitdaMargin,0.2853,-7,INR,EBITDA Marging,EbitdaMargin
MarketCap,13048109000000,4,INR,Market Capital,MarketCap
EnterpriseValue,13022009000000,4,INR,Enterprise Value,EnterpriseValue
EnterpriseValueEbitdaRatio,81.4334,4,INR,Enterprise Value EBITDA Ratio,EnterpriseValueEbitdaRatio
EnterpriseValueRevenueRatio,23.2295,4,INR,Enterprise Value Revenue Ratio,EnterpriseValueRevenueRatio
EPS,30.72,4,INR,EPS,EPS
FreeCashFlowToRevenue,0.1855,-7,INR,Free Cash Flow To Revenue,FreeCashFlowToRevenue
InterestCoverage,73.995,-7,INR,Interest Coverage,InterestCoverage
InventoryTurnoverRatio,0,4,INR,Inventory Turnover Ratio,InventoryTurnoverRatio
InventoryDay,0,4,INR,Inventory Day,InventoryDay
MarketCapSalesRatio,24.1025,-7,INR,Market Capitalization Sales Ratio,MarketCapSalesRatio
NetMargin,0.1983,-7,INR,Net Margin,NetMargin
OperatingCycleRatio,83.3806,4,INR,Operating Cycle Ratio,OperatingCycleRatio
OperatingExpensesRatio,75.002,-7,INR,Operating Expenses Ratio,OperatingExpensesRatio
OperatingMargin,0.2822,-7,INR,Operating Margin,OperatingMargin
PeRatio,27.1379,4,INR,PE Ratio,PeRatio
BookValuePerShare,208.8867,0,INRPerShare,Book value per share,BookValuePerShare
PriceBookValue,17.2555,0,INRPerShare,Price to Book value,PriceBookValue
PriceSalesRatio,24.1025,-7,INR,Price Sales Ratio,PriceSalesRatio
PriceCashFlowOperationRatio,31.9681,-7,INR,Price Cash Flow Operation Ratio,PriceCashFlowOperationRatio
QuickRatio,1.6409,-7,INR,Quick Ratio,QuickRatio
ROA,0.4718,-7,INR,ROA,ROA
EBIT,148730000000,-7,INR,Earnings Before Interest and Taxes,EBIT
ROCE,0.1779,-7,INR,ROCE,ROCE
