Label,Value,Decimals,UnitId,Description,ContextName,From,To
TypeOfPromoterShareholding,Promoter,0,,Type Of promoter shareholding,D_IndividualsOrHUF_Context19,2024-11-26 00:00:00,2025-2-25 00:00:00
NumberOfShareholders,1,0,pure,Number of shareholders,IndividualsOrHUF_Context19,2025-2-25 00:00:00,2025-2-25 00:00:00
NameOfTheShareholder,TITCO LTD. TAURUS MUTUAL FUND TAURUS INFRASTRUCTURE FUND,0,,Name of the shareholder,D_MutualFundsOrUti_Context15,2024-11-26 00:00:00,2025-2-25 00:00:00
NumberOfFullyPaidUpEquityShares,283000,0,shares,Number of fully paid up equity shares,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShares,283000,0,shares,Total number of shares,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,1.67,0,pure,Shareholding as a percentage of total number of shares,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,283000,0,pure,Number of voting rights held by same class of securities,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfVotingRights,283000,0,pure,Number of voting rights,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
PercentageOfTotalVotingRights,1.67,0,pure,Percentage of total voting rights,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfWarrants,0,0,shares,Number of warrants,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,0,0,shares,Number of convertible securities and warrants,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,1.51,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfTheLockedInShares,100000,0,shares,Number of the locked-in-shares,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,35.34,0,pure,Locked-in-shares as a percentage of total number of shares,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,283000,0,shares,Number of equity shares held in dematerialized form,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
