Label,Value,Decimals,UnitId,Description,ContextName,From,To
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForPromoterAndPromoterGroup,false,0,,Whether the listed entity has issued any convertible securities for promoter and promoter group,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForPublicShareHolder,false,0,,Whether the listed entity has issued any convertible securities for public share holder,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForNonPromoterNonPublic,false,0,,Whether the listed entity has issued any convertible securities for non promoter non public,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasIssuedAnyWarrants,true,0,,Whether the listed entity has issued any warrants,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasIssuedAnyWarrantsForPromoterAndPromoterGroup,true,0,,Whether the listed entity has issued any warrants for promoter and promoter group,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasIssuedAnyWarrantsForPublicShareHolder,true,0,,Whether the listed entity has issued any warrants for public shareholder,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasIssuedAnyWarrantsForNonPromoterNonPublic,false,0,,Whether the listed entity has issued any warrants for non promoter non public,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssued,false,0,,Whether the listed entity has any shares against which depository receipts are issued,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssuedForPromoterAndPromoterGroup,false,0,,Whether the listed entity has any shares against which depository receipts are issued for promoter and promoter group,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssuedForPublicShareHolder,false,0,,Whether the listed entity has any shares against which depository receipts are issued for public shareholder,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssuedForNonPromoterNonPublic,false,0,,Whether the listed entity has any shares against which depository receipts are issued for non promoter non public,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesInLockedIn,true,0,,Whether the listed entity has any shares in locked-in,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesInLockedInForPromoterAndPromoterGroup,true,0,,Whether the listed entity has any shares in locked in for promoter and promoter group,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesInLockedInForPublicShareHolder,true,0,,Whether the listed entity has any shares in locked in for public shareholder,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySharesInLockedInForNonPromoterNonPublic,false,0,,Whether the listed entity has any shares in locked in for non promoter non public,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherAnySharesHeldByPromotersArePledgeOrOtherwiseEncumbered,false,0,,Whether any shares held by promoters are pledge or otherwise encumbered,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherAnySharesHeldByPromotersArePledgeOrOtherwiseEncumberedForPromoterAndPromoterGroup,false,0,,Whether any shares held by promoters are pledge or otherwise encumbered for promoter and promoter group,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherCompanyHasEquitySharesWithDifferentialVotingRights,false,0,,Whether company has equity shares with differential voting rights,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherCompanyHasEquitySharesWithDifferentialVotingRightsForPromoterAndPromoterGroup,false,0,,Whether company has equity shares with differential voting rights for promoter and promoter group,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherCompanyHasEquitySharesWithDifferentialVotingRightsForPublicShareHolder,false,0,,Whether company has equity shares with differential voting rights for public shareholder,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherCompanyHasEquitySharesWithDifferentialVotingRightsForNonPromoterNonPublic,false,0,,Whether company has equity shares with differential voting rights for non promoter non public,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
WhetherTheListedEntityHasAnySignificantBeneficialOwner,false,0,,Whether the listed entity has any significant beneficial owner,MainI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,3,0,pure,Number of shareholders,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,59876074,0,shares,Number of fully paid up equity shares,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,59876074,0,shares,Total number of shares,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,54.71,0,pure,Shareholding as a percentage of total number of shares,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,59876074,0,pure,Number of voting rights held by same class of securities,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,59876074,0,pure,Number of voting rights,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,54.71,0,pure,Percentage of total voting rights,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,5650000,0,shares,Number of warrants,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,5650000,0,shares,Number of convertible securities and warrants,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,53.98,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,12036064,0,shares,Number of the locked-in-shares,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,20.10,0,pure,Locked-in-shares as a percentage of total number of shares,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,59876074,0,shares,Number of equity shares held in dematerialized form,IndividualsOrHinduUndividedFamily_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,3,0,pure,Number of shareholders,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,59876074,0,shares,Number of fully paid up equity shares,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,59876074,0,shares,Total number of shares,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,54.71,0,pure,Shareholding as a percentage of total number of shares,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,59876074,0,pure,Number of voting rights held by same class of securities,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,59876074,0,pure,Number of voting rights,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,54.71,0,pure,Percentage of total voting rights,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,5650000,0,shares,Number of warrants,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,5650000,0,shares,Number of convertible securities and warrants,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,53.98,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,12036064,0,shares,Number of the locked-in-shares,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,20.10,0,pure,Locked-in-shares as a percentage of total number of shares,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,59876074,0,shares,Number of equity shares held in dematerialized form,Indian_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,3,0,pure,Number of shareholders,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,59876074,0,shares,Number of fully paid up equity shares,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,59876074,0,shares,Total number of shares,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,54.71,0,pure,Shareholding as a percentage of total number of shares,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,59876074,0,pure,Number of voting rights held by same class of securities,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,59876074,0,pure,Number of voting rights,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,54.71,0,pure,Percentage of total voting rights,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,5650000,0,shares,Number of warrants,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,5650000,0,shares,Number of convertible securities and warrants,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,53.98,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,12036064,0,shares,Number of the locked-in-shares,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,20.10,0,pure,Locked-in-shares as a percentage of total number of shares,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,59876074,0,shares,Number of equity shares held in dematerialized form,ShareholdingOfPromoterAndPromoterGroup_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareholders,6,0,pure,Number of shareholders,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,1020300,0,shares,Number of fully paid up equity shares,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,1020300,0,shares,Total number of shares,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,0.93,0,pure,Shareholding as a percentage of total number of shares,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,1020300,0,pure,Number of voting rights held by same class of securities,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,1020300,0,pure,Number of voting rights,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,0.93,0,pure,Percentage of total voting rights,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,0,0,shares,Number of warrants,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,0,0,shares,Number of convertible securities and warrants,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,0.84,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,770000,0,shares,Number of the locked-in-shares,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,75.47,0,pure,Locked-in-shares as a percentage of total number of shares,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,1020300,0,shares,Number of equity shares held in dematerialized form,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,AlternativeInvestmentFunds_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
