stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
151,"Eicher Motors Ltd",EICHERMOT,"Automobile",Large Cap,75.05,BUY,86.50,75.00,62.50,58.50,3860.35,4773.6,23.66,24.14
40942,"Avenue Supermarts Ltd",DMART,"Retail",Large Cap,72.88,BUY,89.75,80.00,30.00,65.00,3868.25,3403.95,-12,-11.52
21188,"Divis Laboratories Ltd",DIVISLAB,"Pharmaceuticals",Large Cap,71.96,BUY,54.50,80.00,100.00,23.00,3508.5,5480.25,56.2,56.68
33159,"Interglobe Aviation Ltd",INDIGO,"Air Transport Service",Large Cap,71.88,BUY,66.00,100.00,10.00,75.50,3159.8,4477.3,41.7,42.18
3219,"Pidilite Industries Ltd",PIDILITIND,"Chemicals",Large Cap,71.22,BUY,79.25,75.00,47.50,73.50,1371.1,1328.95,-3.07,-2.59
1016,"Titan Company Ltd",TITAN,"Diamond, Gems and Jewellery",Large Cap,70.38,BUY,80.50,63.00,70.00,75.50,3764.1,3077.25,-18.25,-17.77
8029,"TVS Motor Company Ltd",TVSMOTOR,"Automobile",Large Cap,69.19,BUY,86.75,50.00,82.50,83.00,2253.05,2225.5,-1.22,-0.74
24951,"UltraTech Cement Ltd",ULTRACEMCO,"Cement",Large Cap,68.74,BUY,73.50,62.00,75.00,75.50,10106.35,10128.45,0.22,0.7
26603,"Polycab India Ltd",POLYCAB,"Cables",Large Cap,68.36,BUY,87.25,50.00,80.00,75.50,4794.35,4713.4,-1.69,-1.21
2806,"Infosys Ltd",INFY,"IT - Software",Large Cap,67.74,BUY,73.50,75.50,40.00,64.50,1656.3,1687.7,1.9,2.38
815,"Dr Reddys Laboratories Ltd",DRREDDY,"Pharmaceuticals",Large Cap,67.45,BUY,80.25,72.50,35.00,63.50,1247.78,1116.5,-10.52,-10.04
2298,"Bharat Electronics Ltd",BEL,"Aerospace & Defence",Large Cap,66.43,BUY,74.00,50.00,90.00,79.00,206.75,246.25,19.11,19.59
17215,"Tech Mahindra Ltd",TECHM,"IT - Software",Large Cap,66.34,BUY,67.50,67.50,70.00,44.50,1272.5,1487.85,16.92,17.4
252,"Hindalco Industries Ltd",HINDALCO,"Non Ferrous Metals",Large Cap,66.11,BUY,67.75,76.50,45.00,46.50,522.85,634.35,21.33,21.81
18105,"LTIMindtree Ltd",LTM,"IT - Software",Large Cap,65.88,BUY,87.50,74.50,25.00,23.00,5294.9,4665.95,-11.88,-11.4
4764,"JSW Steel Ltd",JSWSTEEL,"Steel",Large Cap,65.81,BUY,75.00,62.50,55.00,75.50,844.95,950.7,12.52,13
114,"Cipla Ltd",CIPLA,"Pharmaceuticals",Large Cap,65.53,BUY,58.75,58.00,90.00,80.00,1482.3,1407.5,-5.05,-4.57
3616,"Torrent Pharmaceuticals Ltd",TORNTPHARM,"Pharmaceuticals",Large Cap,65.09,BUY,73.00,50.00,85.00,77.00,2691.5,2948.1,9.53,10.01
557,"Tata Consumer Products Ltd",TATACONSUM,"Plantation & Plantation Products",Large Cap,65.02,BUY,63.75,56.00,85.00,77.00,1192.42,963.7,-19.18,-18.7
34,"Asian Paints Ltd",ASIANPAINT,"Paints/Varnish",Large Cap,64.61,HOLD,77.00,83.00,20.00,8.00,2849.8,2179.75,-23.51,-23.03
218,"Ambuja Cements Ltd",AMBUJACEM,"Cement",Large Cap,64.58,HOLD,70.25,55.00,75.00,75.00,617.9,464.95,-24.75,-24.27
337,"Cummins India Ltd",CUMMINSIND,"Capital Goods-Non Electrical Equipment",Large Cap,63.53,HOLD,74.25,50.00,75.00,75.00,2736.65,2717.95,-0.68,-0.2
365,"Mahindra & Mahindra Ltd",M&M,"Automobile",Large Cap,63.36,HOLD,75.75,56.00,55.00,79.00,1960.1,2585.1,31.89,32.37
25386,"Solar Industries India Ltd",SOLARINDS,"Aerospace & Defence",Large Cap,62.70,HOLD,76.25,50.00,70.00,67.50,6847.35,8710.6,27.21,27.69
614,"Wipro Ltd",WIPRO,"IT - Software",Large Cap,62.53,HOLD,69.00,76.50,10.00,80.00,261.43,277.65,6.2,6.68
175,"Nestle India Ltd",NESTLEIND,"FMCG",Large Cap,62.21,HOLD,70.50,67.50,30.00,75.50,1297.45,1094.83,-15.62,-15.14
255,"Hindustan Unilever Ltd",HINDUNILVR,"FMCG",Large Cap,62.03,HOLD,74.00,80.00,10.00,29.00,2376.74,2154.48,-9.35,-8.87
502,"Vedanta Ltd",VEDL,"Mining & Mineral products",Large Cap,61.93,HOLD,55.25,87.00,10.00,63.00,273.05,394.75,44.57,45.05
5400,"Tata Consultancy Services Ltd",TCS,"IT - Software",Large Cap,61.83,HOLD,67.75,70.50,25.00,75.50,4107.1,3483.25,-15.19,-14.71
