sector,stock_count,stock_name,symbol,overall_score,score_rank,return_pct,return_rank,rank_diff,deviation_pct,bucket
"Aerospace & Defence",3,"Bharat Electronics Ltd",BEL,66.43,1,19.11,2,1,33.33,"Rest"
"Aerospace & Defence",3,"Solar Industries India Ltd",SOLARINDS,60.30,2,27.21,1,1,33.33,"Rest"
"Aerospace & Defence",3,"Hindustan Aeronautics Ltd",HAL,58.85,3,-2.18,3,0,0,"Exact"
"Air Transport Service",1,"Interglobe Aviation Ltd",INDIGO,71.88,1,41.7,1,0,0,"Exact"
"Auto Ancillaries",1,"Samvardhana Motherson International Ltd",MOTHERSON,49.45,1,-34.14,1,0,0,"Exact"
"Automobile",8,"Eicher Motors Ltd",EICHERMOT,75.05,1,23.66,2,1,12.5,"Within 25%"
"Automobile",8,"TVS Motor Company Ltd",TVSMOTOR,69.19,2,-1.22,5,3,37.5,"Rest"
"Automobile",8,"Mahindra & Mahindra Ltd",M&M,63.36,3,31.89,1,2,25,"Within 25%"
"Automobile",8,"Ashok Leyland Ltd",ASHOKLEY,61.71,4,23.52,3,1,12.5,"Within 25%"
"Automobile",8,"Maruti Suzuki India Ltd",MARUTI,61.41,5,3.27,4,1,12.5,"Within 25%"
"Automobile",8,"Bajaj Auto Ltd",BAJAJ-AUTO,60.77,6,-1.72,6,0,0,"Exact"
"Automobile",8,"Hero MotoCorp Ltd",HEROMOTOCO,59.33,7,-19.65,7,0,0,"Exact"
"Automobile",8,"Tata Motors Passenger Vehicles Ltd",TMPV,48.22,8,-37.2,8,0,0,"Exact"
"Cables",1,"Polycab India Ltd",POLYCAB,68.36,1,-1.69,1,0,0,"Exact"
"Capital Goods - Electrical Equipment",4,"CG Power & Industrial Solutions Ltd",CGPOWER,61.60,1,21.1,2,1,25,"Within 25%"
"Capital Goods - Electrical Equipment",4,"ABB India Ltd",ABB,57.36,2,-10.26,4,2,50,"Rest"
"Capital Goods - Electrical Equipment",4,"Siemens Ltd",SIEMENS,51.82,3,-2.39,3,0,0,"Exact"
"Capital Goods - Electrical Equipment",4,"Hitachi Energy India Ltd",POWERINDIA,51.72,4,84.14,1,3,75,"Rest"
"Capital Goods-Non Electrical Equipment",1,"Cummins India Ltd",CUMMINSIND,63.53,1,-0.68,1,0,0,"Exact"
"Cement",2,"UltraTech Cement Ltd",ULTRACEMCO,68.74,1,0.22,1,0,0,"Exact"
"Cement",2,"Ambuja Cements Ltd",AMBUJACEM,64.58,2,-24.75,2,0,0,"Exact"
"Chemicals",1,"Pidilite Industries Ltd",PIDILITIND,71.22,1,-3.07,1,0,0,"Exact"
"Crude Oil & Natural Gas",1,"Oil & Natural Gas Corpn Ltd",ONGC,55.34,1,-17.16,1,0,0,"Exact"
"Diamond, Gems and Jewellery",1,"Titan Company Ltd",TITAN,70.38,1,-18.25,1,0,0,"Exact"
"E-Commerce/App based Aggregator",1,"Eternal Ltd",ETERNAL,42.06,1,32.48,1,0,0,"Exact"
"Finance",2,"Cholamandalam Investment & Finance Company Ltd",CHOLAFIN,53.81,1,27.53,1,0,0,"Exact"
"Finance",2,"Indian Railway Finance Corporation Ltd",IRFC,36.71,2,-24.4,2,0,0,"Exact"
"FMCG",4,"Nestle India Ltd",NESTLEIND,62.21,1,-15.62,2,1,25,"Within 25%"
"FMCG",4,"Hindustan Unilever Ltd",HINDUNILVR,62.03,2,-9.35,1,1,25,"Within 25%"
"FMCG",4,"Godrej Consumer Products Ltd",GODREJCP,59.39,3,-21.07,3,0,0,"Exact"
"FMCG",4,"Varun Beverages Ltd",VBL,48.90,4,-24.75,4,0,0,"Exact"
"Healthcare",1,"Apollo Hospitals Enterprise Ltd",APOLLOHOSP,63.86,1,-1.32,1,0,0,"Exact"
"Infrastructure Developers & Operators",1,"Larsen & Toubro Ltd",LT,51.49,1,-13.44,1,0,0,"Exact"
"Insurance",1,"SBI Life Insurance Company Ltd",SBILIFE,59.88,1,-7.52,1,0,0,"Exact"
"IT - Software",6,"Infosys Ltd",INFY,66.84,1,1.9,3,2,33.33,"Rest"
"IT - Software",6,"Tech Mahindra Ltd",TECHM,66.34,2,16.92,1,1,16.67,"Within 25%"
"IT - Software",6,"LTIMindtree Ltd",LTM,65.88,3,-11.88,5,2,33.33,"Rest"
"IT - Software",6,"Wipro Ltd",WIPRO,62.53,4,6.2,2,2,33.33,"Rest"
"IT - Software",6,"Tata Consultancy Services Ltd",TCS,61.83,5,-15.19,6,1,16.67,"Within 25%"
"IT - Software",6,"HCL Technologies Ltd",HCLTECH,57.83,6,-4.33,4,2,33.33,"Rest"
"Marine Port & Services",1,"Adani Ports & Special Economic Zone Ltd",ADANIPORTS,54.29,1,-20.09,1,0,0,"Exact"
"Mining & Mineral products",2,"Vedanta Ltd",VEDL,61.93,1,44.57,1,0,0,"Exact"
"Mining & Mineral products",2,"Coal India Ltd",COALINDIA,43.70,2,-17.65,2,0,0,"Exact"
"Non Ferrous Metals",2,"Hindustan Zinc Ltd",HINDZINC,55.92,1,25.02,1,0,0,"Exact"
"Non Ferrous Metals",2,"Hindalco Industries Ltd",HINDALCO,53.51,2,21.33,2,0,0,"Exact"
"Paints/Varnish",1,"Asian Paints Ltd",ASIANPAINT,64.61,1,-23.51,1,0,0,"Exact"
"Pharmaceuticals",6,"Divis Laboratories Ltd",DIVISLAB,71.96,1,56.2,1,0,0,"Exact"
"Pharmaceuticals",6,"Dr Reddys Laboratories Ltd",DRREDDY,67.45,2,-10.52,6,4,66.67,"Rest"
"Pharmaceuticals",6,"Cipla Ltd",CIPLA,65.53,3,-5.05,5,2,33.33,"Rest"
"Pharmaceuticals",6,"Torrent Pharmaceuticals Ltd",TORNTPHARM,65.09,4,9.53,3,1,16.67,"Within 25%"
"Pharmaceuticals",6,"Lupin Ltd",LUPIN,59.17,5,16.54,2,3,50,"Rest"
"Pharmaceuticals",6,"Sun Pharmaceutical Industries Ltd",SUNPHARMA,44.23,6,2.75,4,2,33.33,"Rest"
"Plantation & Plantation Products",1,"Tata Consumer Products Ltd",TATACONSUM,64.57,1,-19.18,1,0,0,"Exact"
"Power Generation & Distribution",5,"Adani Power Ltd",ADANIPOWER,58.73,1,-13.83,4,3,60,"Rest"
"Power Generation & Distribution",5,"Adani Energy Solutions Ltd",ADANIENSOL,56.08,2,-39.78,5,3,60,"Rest"
"Power Generation & Distribution",5,"NTPC Ltd",NTPC,49.64,3,-8.87,1,2,40,"Rest"
"Power Generation & Distribution",5,"Power Grid Corporation of India Ltd",POWERGRID,48.88,4,-12.55,3,1,20,"Within 25%"
"Power Generation & Distribution",5,"Tata Power Company Ltd",TATAPOWER,39.73,5,-10.54,2,3,60,"Rest"
"Realty",1,"DLF Ltd",DLF,48.66,1,-31.14,1,0,0,"Exact"
"Refineries",3,"Reliance Industries Ltd",RELIANCE,58.55,1,-19.51,1,0,0,"Exact"
"Refineries",3,"Indian Oil Corporation Ltd",IOC,52.97,2,-34.09,3,1,33.33,"Rest"
"Refineries",3,"Bharat Petroleum Corporation Ltd",BPCL,52.48,3,-24.09,2,1,33.33,"Rest"
"Retail",2,"Avenue Supermarts Ltd",DMART,72.88,1,-12,2,1,50,"Rest"
"Retail",2,"Trent Ltd",TRENT,46.34,2,24.09,1,1,50,"Rest"
"Steel",3,"JSW Steel Ltd",JSWSTEEL,65.81,1,12.52,1,0,0,"Exact"
"Steel",3,"Tata Steel Ltd",TATASTEEL,58.40,2,-11.63,3,1,33.33,"Rest"
"Steel",3,"Jindal Steel Ltd",JINDALSTEL,42.64,3,2.1,2,1,33.33,"Rest"
"Telecom Equipment & Infra Services",1,"Indus Towers Ltd",INDUSTOWER,55.41,1,21.7,1,0,0,"Exact"
"Telecom-Service",1,"Bharti Airtel Ltd",BHARTIARTL,57.84,1,38.82,1,0,0,"Exact"
"Textiles",1,"Grasim Industries Ltd",GRASIM,60.05,1,2.71,1,0,0,"Exact"
"Tobacco Products",1,"ITC Ltd",ITC,61.36,1,1.33,1,0,0,"Exact"
"Trading",1,"Adani Enterprises Ltd",ADANIENT,56.75,1,-37.12,1,0,0,"Exact"
