Label,Value,Decimals,UnitId,Description,Key
WhetherTheUpdatedRelatedPartyTransactionsPolicyHasBeenUploadedOnTheWebsiteOfTheCompanyInComplianceWithRegulation23,true,0,,Whether the updated related party transactions policy has been uploaded on the website of the company in compliance with Regulation 23,WhetherTheUpdatedRelatedPartyTransactionsPolicyHasBeenUploadedOnTheWebsiteOfTheCompanyInComplianceWithRegulation23
LatestDateOnWhichRelatedPartyTransactionsPolicyIsUpdated,2025-01-09,0,,Latest date on which related party transactions policy is updated,LatestDateOnWhichRelatedPartyTransactionsPolicyIsUpdated
WebsiteLinkForUpdatedRelatedPartyTransactionsPolicyOfTheCompany,https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/faq/tcs-policy-related-party-transactions-jan25.pdf,0,,Website link for updated related party transactions policy of the company,WebsiteLinkForUpdatedRelatedPartyTransactionsPolicyOfTheCompany
WhetherStatementOnDeviationOrVariationForProceedsOfPublicIssueOrRightIssueOrPreferentialIssueOrQIPEtcIsApplicableToTheCompanyForTheCurrentQuarter,false,0,,Whether statement on Deviation / Variation for proceeds of Public Issue / Right Issue / Preferential Issue / QIP etc is applicable to the company for the current quarter,WhetherStatementOnDeviationOrVariationForProceedsOfPublicIssueOrRightIssueOrPreferentialIssueOrQIPEtcIsApplicableToTheCompanyForTheCurrentQuarterWhetherStatementOnDeviationVariationForProceedsOfPublicIssueRightIssuePreferentialIssueQipEtcIsApplicableToTheCompanyForTheCurrentQuarter
WhetherTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesIsApplicableToTheEntity,false,0,,Whether the disclosure for the default on loans and debt securities is applicable to the entity,WhetherTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesIsApplicableToTheEntity
NoteForNonApplicabilityOfTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesToTheEntity,Not Applicable,0,,Note for non-applicability of the disclosure for the default on loans and debt securities to the entity,NoteForNonApplicabilityOfTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesToTheEntity
DateOfStartOfReportingPeriod,2025-01-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2025-03-31,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
WhetherResultsAreAuditedOrUnaudited,Audited,0,,Whether results are audited or unaudited,WhetherResultsAreAuditedOrUnaudited
NatureOfReportStandaloneConsolidated,Standalone,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
RevenueFromOperations,541360000000,-7,INR,Revenue from operations,RevenueFromOperations
OtherIncome,19220000000,-7,INR,Other income,OtherIncome
Income,560580000000,-7,INR,Total income,IncomeTotalIncome
CostOfMaterialsConsumed,0,-7,INR,Cost of materials consumed,CostOfMaterialsConsumed
PurchasesOfStockInTrade,0,-7,INR,Purchases of stock-in-trade,PurchasesOfStockInTrade
ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,0,-7,INR,Changes in inventories of finished goods work-in-progress and stock-in-trade,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade
EmployeeBenefitExpense,272150000000,-7,INR,Employee benefit expense,EmployeeBenefitExpense
FinanceCosts,2010000000,-7,INR,Finance costs,FinanceCosts
DepreciationDepletionAndAmortisationExpense,11180000000,-7,INR,Depreciation depletion and amortisation expense,DepreciationDepletionAndAmortisationExpense
OtherExpenses,128520000000,-7,INR,Other expenses Sum,OtherExpensesOtherExpensesSum
Expenses,413860000000,-7,INR,Total Expenses,ExpensesTotalExpenses
ProfitBeforeExceptionalItemsAndTax,146720000000,-7,INR,Total profit before exceptional items and tax,ProfitBeforeExceptionalItemsAndTaxTotalProfitBeforeExceptionalItemsAndTax
ExceptionalItemsBeforeTax,0,-7,INR,Exceptional items before tax,ExceptionalItemsBeforeTax
ProfitBeforeTax,146720000000,-7,INR,Total profit before tax,ProfitBeforeTaxTotalProfitBeforeTax
CurrentTax,37740000000,-7,INR,Current tax,CurrentTax
DeferredTax,-2180000000,-7,INR,Deferred tax,DeferredTax
TaxExpense,35560000000,-7,INR,Total tax expense,TaxExpenseTotalTaxExpense
