Label,Value,Decimals,UnitId,Description,Key
DebtorToSalesPct,23.1764,-7,INR,Debtor to Sales(%),DebtorToSalesPct
GrossProfitMarginPct,27.5764,-7,INR,Gross Profit Margin(%),GrossProfitMarginPct
ReturnOnNetworthEquityPct,50.9517,-7,INR,Return on Networth/Equity(%),ReturnOnNetworthEquityPct
DebtorsToEquity,0.6179,-7,INR,Debtors to Equity,DebtorsToEquity
InterestCover,73.2555,-7,INR,Interest Cover,InterestCover
OperatingProfitMarginPct,93.8361,-7,INR,Operating Profit Margin(%),OperatingProfitMarginPct
WorkingCapitalDay,118.169,-7,INR,Working Capital Day,WorkingCapitalDay
DividendPerShare,124.2044,-7,INR,Dividend Per Share,DividendPerShare
DividendYieldPct,3.4459,-7,INR,Dividend Yield (%),DividendYieldPct
PayableDays,0,-7,INR,Payable Days,PayableDays
CashConversionCycle,80.6949,4,INR,Cash Conversion Cycle,CashConversionCycle
CashEarningsRetentionRatio,16.7971,-7,INR,Cash Earnings Retention Ratio,CashEarningsRetentionRatio
EarningsRetentionRatio,7.8591,-7,INR,Earnings Retention Ratio,EarningsRetentionRatio
WorkingCapitalSalesRatioPct,32.3751,-7,INR,Working Capital to Sales Ratio (%),WorkingCapitalSalesRatioPct
EbitdaMarginPct,27.9285,-7,INR,EBITDA Margin (%),EbitdaMarginPct
FixedCapitalSalesRatioPct,9.0289,-7,INR,Fixed Capital to Sales Ratio (%),FixedCapitalSalesRatioPct
CpGrowthPct,5.7846,-7,INR,CP Growth(%),CpGrowthPct
PBIDTMEXOIGrowthPct,-1.087,-7,INR,PBIDT Excl OI Growth (%),PBIDTMEXOIGrowthPct
Fixed_Assets_TA,22.9394,-7,INR,Fixed_Assets_TA,Fixed_Assets_TA
Net_Sales_Growth,5.9906,-7,INR,Net_Sales_Growth,Net_Sales_Growth
NetProfit_To_PBT,0.7495,-7,INR,NetProfit_To_PBT,NetProfit_To_PBT
NetProfit_To_Sales,19.0651,-7,INR,NetProfit_To_Sales,NetProfit_To_Sales
NetSales_To_TotalAssets,0,4,INR,NetSales_To_TotalAssets,NetSales_To_TotalAssets
EBIT_Margin,25.3851,-7,INR,EBIT_Margin,EBIT_Margin
PAT_Growth,5.8526,-7,INR,PAT_Growth,PAT_Growth
InterestToDebt,0,4,INR,Interest to Debt,InterestToDebt
LT_Debt_Equity_Ratio,0,-7,INR,LT_Debt_Equity_Ratio,LT_Debt_Equity_Ratio
AdjustedEPS_TTM,134.2,4,INR,Adjusted EPS_TTM,AdjustedEPS_TTM
NetWorthShareholdersEquity,947560000000,-7,INR,Net Worth (Shareholders’ Equity),NetWorthShareholdersEquity
ReturnNetWorthPct,50.9517,-7,INR,Return on Net Worth(%),ReturnNetWorthPct
EV_EBIT,77.9643,4,INR,EV_EBIT,EV_EBIT
EV_NetSales,20.1068,4,INR,EV_NetSales,EV_NetSales
MCapGrowthPct,-7.1867,-7,INR,MCap Growth %,MCapGrowthPct
Pre_Tax_Margin,25.4377,-7,INR,Pre_Tax_Margin,Pre_Tax_Margin
OperatingCashFlow3Y,1352110000000,-7,INR,Operating cash flow 3years,OperatingCashFlow3Y
FreeCashFlow,509970000000,-7,INR,Free Cash Flow,FreeCashFlow
FCF_Yield,3.9084,-7,INR,FCF Yield,FCF_Yield
NetworthGrowthPct,4.8752,-7,INR,Networth Growth (%),NetworthGrowthPct
OtherIncomeNetworthPct,4.137,-7,INR,OtherIncome to NetWorth (%),OtherIncomeNetworthPct
OwnersFundToTotalSourcePct,59.996,-7,INR,OwnersFund to Total Source (%),OwnersFundToTotalSourcePct
SalesToCurrentAssets,2.0756,-7,INR,Sales to Current Assets,SalesToCurrentAssets
PBDTGrowthPct,0,-7,INR,PBDT Growth %,PBDTGrowthPct
PBITGrowthPct,0,-7,INR,PBIT Growth %,PBITGrowthPct
PBITToSales,43277826895.7475,-7,INR,PBIT to Sales,PBITToSales
PBTGrowthPct,0,-7,INR,PBT Growth %,PBTGrowthPct
