stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
614,"Wipro Ltd",WIPRO,"IT - Software",Large Cap,58.92,HOLD,68.25,50.00,60.00,73.50,217.75,277.65,27.51,-63.54
3616,"Torrent Pharmaceuticals Ltd",TORNTPHARM,"Pharmaceuticals",Large Cap,57.54,HOLD,62.50,60.00,55.00,27.00,1248.68,2948.1,136.1,45.05
2806,"Infosys Ltd",INFY,"IT - Software",Large Cap,56.75,HOLD,44.50,50.00,85.00,80.00,1343.55,1687.7,25.61,-65.44
114,"Cipla Ltd",CIPLA,"Pharmaceuticals",Large Cap,55.47,HOLD,60.25,70.00,10.00,58.50,812.5,1407.5,73.23,-17.82
252,"Hindalco Industries Ltd",HINDALCO,"Non Ferrous Metals",Large Cap,55.19,HOLD,57.75,50.00,55.00,78.00,359.35,634.35,76.53,-14.52
4764,"JSW Steel Ltd",JSWSTEEL,"Steel",Large Cap,55.15,HOLD,55.75,50.00,55.00,86.00,428.15,950.7,122.05,31
514,"Siemens Ltd",SIEMENS,"Capital Goods - Electrical Equipment",Large Cap,52.93,HOLD,43.75,50.00,65.00,80.00,952.75,2298.48,141.25,50.2
2290,"Bharat Petroleum Corporation Ltd",BPCL,"Refineries",Large Cap,51.94,HOLD,15.50,50.00,100.00,97.00,233.18,237.3,1.77,-89.28
21997,"HDFC Life Insurance Company Ltd",HDFCLIFE,"Insurance",Large Cap,51.90,HOLD,71.00,50.00,10.00,90.00,727.5,608.5,-16.36,-107.41
242,"ABB India Ltd",ABB,"Capital Goods - Electrical Equipment",Large Cap,46.98,REVIEW,34.75,50.00,0.00,80.00,1532.7,4935.4,222.01,130.96
227,"Grasim Industries Ltd",GRASIM,"Textiles",Large Cap,46.71,REVIEW,34.25,50.00,0.00,79.00,1312.88,2306.65,75.69,-15.36
554,"Tata Power Company Ltd",TATAPOWER,"Power Generation & Distribution",Large Cap,46.26,REVIEW,29.75,50.00,0.00,93.00,105.25,339.2,222.28,131.23
4244,"Adani Enterprises Ltd",ADANIENT,"Trading",Large Cap,45.53,REVIEW,31.25,50.00,0.00,78.00,887.42,2032.05,128.98,37.93
566,"Tata Steel Ltd",TATASTEEL,"Steel",Large Cap,42.64,REVIEW,41.75,50.00,10.00,83.00,77.72,137.2,76.53,-14.52
66273,"Adani Energy Solutions Ltd",ADANIENSOL,"Power Generation & Distribution",Large Cap,41.52,REVIEW,20.75,50.00,0.00,76.00,828,650.9,-21.39,-112.44
