sector,stock_count,stock_name,symbol,overall_score,score_rank,return_pct,return_rank,rank_diff,deviation_pct,bucket
"Aerospace & Defence",1,"Hindustan Aeronautics Ltd",HAL,74.07,1,455.13,1,0,0,"Exact"
"Auto Ancillaries",1,"Samvardhana Motherson International Ltd",MOTHERSON,66.62,1,-31.9,1,0,0,"Exact"
"Automobile",6,"Eicher Motors Ltd",EICHERMOT,80.65,1,83.67,3,2,33.33,"Rest"
"Automobile",6,"Hero MotoCorp Ltd",HEROMOTOCO,78.22,2,7.5,6,4,66.67,"Rest"
"Automobile",6,"TVS Motor Company Ltd",TVSMOTOR,75.13,3,255.11,1,2,33.33,"Rest"
"Automobile",6,"Bajaj Auto Ltd",BAJAJ-AUTO,70.68,4,102.58,2,2,33.33,"Rest"
"Automobile",6,"Maruti Suzuki India Ltd",MARUTI,65.59,5,67.67,4,1,16.67,"Within 25%"
"Automobile",6,"Ashok Leyland Ltd",ASHOKLEY,61.34,6,61.98,5,1,16.67,"Within 25%"
"Capital Goods - Electrical Equipment",2,"Siemens Ltd",SIEMENS,52.93,1,141.25,2,1,50,"Rest"
"Capital Goods - Electrical Equipment",2,"ABB India Ltd",ABB,46.98,2,222.01,1,1,50,"Rest"
"Capital Goods-Non Electrical Equipment",1,"Cummins India Ltd",CUMMINSIND,71.16,1,214.41,1,0,0,"Exact"
"Cement",2,"UltraTech Cement Ltd",ULTRACEMCO,71.68,1,55.81,2,1,50,"Rest"
"Cement",2,"Ambuja Cements Ltd",AMBUJACEM,66.58,2,64.82,1,1,50,"Rest"
"Chemicals",1,"Pidilite Industries Ltd",PIDILITIND,75.56,1,50.62,1,0,0,"Exact"
"Crude Oil & Natural Gas",1,"Oil & Natural Gas Corpn Ltd",ONGC,68.75,1,97.59,1,0,0,"Exact"
"Diamond, Gems and Jewellery",1,"Titan Company Ltd",TITAN,71.21,1,108.68,1,0,0,"Exact"
"Finance",3,"Shriram Finance Ltd",SHRIRAMFIN,78.91,1,126.59,2,1,33.33,"Rest"
"Finance",3,"Power Finance Corporation Ltd",PFC,70.97,2,240.98,1,1,33.33,"Rest"
"Finance",3,"Muthoot Finance Ltd",MUTHOOTFIN,62.76,3,61.76,3,0,0,"Exact"
"FMCG",5,"Nestle India Ltd",NESTLEIND,75.48,1,31.12,4,3,60,"Rest"
"FMCG",5,"Britannia Industries Ltd",BRITANNIA,72.38,2,32.01,3,1,20,"Within 25%"
"FMCG",5,"Hindustan Unilever Ltd",HINDUNILVR,68.57,3,-0.15,5,2,40,"Rest"
"FMCG",5,"Varun Beverages Ltd",VBL,66.86,4,367.92,1,3,60,"Rest"
