sector,stock_count,avg_score,avg_return_pct,winsorized_avg_return_pct,median_return_pct,correlation,best_stock,best_return,worst_stock,worst_return
"Marine Port & Services",4,61.51,2.11,2.11,5.51,0,"Gujarat Pipavav Port Ltd",14.25,"JSW Infrastructure Ltd",-16.82
"Real Estate Investment Trusts",4,59.88,9.69,9.69,8.87,0,"Mindspace Business Parks REIT",14.01,"Nexus Select Trust",7.02
"Air Transport Service",4,50.85,-32.22,-32.22,-29.59,0,"TAAL Tech Ltd",-10.33,"SpiceJet Ltd",-59.37
"Credit Rating Agencies",3,71.17,-8.22,-8.22,-9.21,0,"CARE Ratings Ltd",-0.83,"CRISIL Ltd",-14.62
"Oil Drill/Allied",3,50.98,-10.48,-10.48,-9.56,0,"Duke Offshore Ltd",3.2,"Jindal Drilling & Industries Ltd",-25.08
"Dry cells",3,55.87,-22.31,-22.31,-25.43,0,"Panasonic Energy India Company Ltd",-13.06,"Indo National Ltd",-28.44
"Insurance",2,44.53,2.38,2.38,2.38,0,"SBI Life Insurance Company Ltd",11.52,"HDFC Life Insurance Company Ltd",-6.75
"Railways",1,75.59,-16.38,-16.38,-16.38,0,"Indian Railway Catering & Tourism Corporation Ltd",-16.38,"Indian Railway Catering & Tourism Corporation Ltd",-16.38
"DVR",1,74.77,-7.84,-7.84,-7.84,0,"GACM Technologies Ltd-DVR",-7.84,"GACM Technologies Ltd-DVR",-7.84
"Power Infrastructure",1,60.49,-21.18,-21.18,-21.18,0,"Waaree Renewable Technologies Ltd",-21.18,"Waaree Renewable Technologies Ltd",-21.18
"Telecom-Handsets/Mobile",1,30.83,0,0,0,0,"Prabhat Technologies (India) Ltd",0,"Prabhat Technologies (India) Ltd",0
