stock_id,stock_name,symbol,sector,mcap_type,industry,financial_score,qm_score,technical_score,start_price,end_price,return_pct
41486,"CDG Petchem Ltd",534796,"Trading",Small Cap,"Trading - Medium / Small",2.50,0.00,78.00,55.23,104.1,88.48
42365,"Tasty Dairy Specialities Ltd",540955,"FMCG",Small Cap,"Food and Dairy Products - Indian - Medium / Small",2.50,0.00,27.50,9.04,6.65,-26.44
42732,"Prudent Corporate Advisory Services Ltd",PRUDENT,"Stock/ Commodity Brokers",Small Cap,"Securities/Commodities Trading Services",44.50,0.00,80.00,2894.8,2539.15,-12.29
43079,"Aptus Value Housing Finance India Ltd",APTUS,"Finance",Small Cap,"Finance - Housing - Large",41.00,0.00,67.50,345.85,247.5,-28.44
43417,"R J Bio-Tech Ltd",536456,"Plantation & Plantation Products",Small Cap,"Floriculture / Tissue Culture",13.00,100.00,0.00,3.43,3.43,0
43524,"Aditya Infotech Ltd",CPPLUS,"Electronics",Small Cap,"Trading - Medium / Small",84.00,0.00,0.00,1361.1,1574.6,15.69
43575,"Indegene Ltd",INDGN,"Healthcare",Small Cap,"Miscellaneous - Large",71.00,0.00,30.50,572.25,493.1,-13.83
43592,"Viaan Industries Ltd",537524,"Trading",Small Cap,"Trading - Medium / Small",7.75,0.00,63.50,0.97,0.97,0
43686,"Future Lifestyle Fashions Ltd",FLFL,"Retail",Small Cap,"Trading - Medium / Small",10.75,0.00,2.00,1.57,1.19,-24.2
43863,"Jindal Poly Investment & Finance Company Ltd",JPOLYINVST,"Finance",Small Cap,"Finance - Investment / Others",16.00,0.00,8.00,725.8,1283.6,76.85
43964,"RCI Industries & Technologies Ltd",537254,"Non Ferrous Metals",Small Cap,"Metal - Copper / Copper Alloy Products",2.50,0.00,97.00,7.1,6.81,-4.08
44363,"Machhar Industries Ltd",543934,"Miscellaneous",Small Cap,"Transport - Road",31.75,0.00,23.00,336,313.5,-6.7
44990,"Jubilant Agri & Consumer Products Ltd",JUBLCPL,"Chemicals",Small Cap,"Chemicals - Speciality - Large",83.50,0.00,0.00,2798,1789,-36.06
45167,"Starlit Power Systems Ltd(Merged)",538733,"Mining & Mineral products",Small Cap,"Metal - Others",2.50,0.00,38.50,3.59,3.59,0
45766,"Shivamshree Businesses Ltd",538520,"Power Generation & Distribution",Small Cap,"Power Generation And Supply",32.75,0.00,0.00,2.33,1.59,-31.76
45828,"AAVAS Financiers Ltd",AAVAS,"Finance",Small Cap,"Finance - Housing - Large",39.50,0.00,8.00,1650.25,1286.05,-22.07
48455,"India Shelter Finance Corporation Ltd",INDIASHLTR,"Finance",Small Cap,"Finance - Housing - Large",31.00,0.00,56.50,906.95,717.65,-20.87
49157,"Laxmi India Finance Ltd",LAXMIINDIA,"Finance",Small Cap,"Finance - Small",35.50,0.00,0.00,140.75,94.44,-32.9
51512,"Callista Industries Ltd",539335,"Trading",Small Cap,"Trading - Medium / Small",1.00,0.00,0.00,14.44,162.4,1024.65
52315,"Neopolitan Pizza and Foods Ltd",NEO,"Trading",Small Cap,"Trading - Medium / Small",68.25,0.00,0.00,12.27,9.75,-20.54
54036,"Svarnim Trade Udyog Ltd",539911,"Trading",Small Cap,"Trading - Medium / Small",2.50,0.00,1.00,15.27,10.9,-28.62
54764,"Radhagobind Commercial Ltd",539673,"Trading",Small Cap,"Trading - Medium / Small",5.50,0.00,-5.00,1.83,3.06,67.21
54766,"Quality Power Electrical Equipments Ltd",QPOWER,"Capital Goods - Electrical Equipment",Small Cap,"Electric Equipment - General - Medium / Small",97.75,0.00,0.00,788.2,898.4,13.98
64823,"Majestic Research Services & Solutions Ltd",539229,"Miscellaneous",Small Cap,"Miscellaneous - Medium / Small",17.50,0.00,12.00,4.38,4.38,0
64848,"BKM Industries Ltd",BKMINDST,"Engineering",Small Cap,"Engineering - Light - General - Medium / Small",9.25,0.00,100.00,1.82,1.82,0
64977,"Fusion Finance Ltd",FUSION,"Finance",Small Cap,"Finance - Large",31.00,0.00,29.50,167.35,191.1,14.19
65789,"Kalpa Commercial Ltd",539014,"Trading",Small Cap,"Trading - Medium / Small",21.25,0.00,0.00,10.52,10.8,2.66
65804,"Balkrishna Paper Mills Ltd",BALKRISHNA,"Trading",Small Cap,"Trading - Medium / Small",5.50,0.00,65.00,21.49,15.88,-26.11
65851,"Jiya Eco-Products Ltd",JIYAECO,"Miscellaneous",Small Cap,"Miscellaneous - Medium / Small",16.75,0.00,0.00,3.61,3.61,0
65911,"Waaree Technologies Ltd",539337,"Auto Ancillaries",Small Cap,"Auto Ancillaries - Batteries",21.25,0.00,16.50,297.5,164.6,-44.67
66008,"360 ONE WAM Ltd",360ONE,"Stock/ Commodity Brokers",Mid Cap,"Securities/Commodities Trading Services",16.00,0.00,46.50,1077.6,1132.2,5.07
66042,"Future Retail Ltd",FRETAIL,"Retail",Small Cap,"Trading - Large",20.75,0.00,6.00,2.41,2.41,0
66221,"SAB Events & Governance Now Media Ltd",SABEVENTS,"Media - Print/Television/Radio",Small Cap,"Entertainment - Content Providers",11.50,0.00,2.00,5.78,17.55,203.63
66257,"Highway Infrastructure Ltd",HILINFRA,"Construction",Small Cap,"Construction - Civil / Turnkey - Medium / Small",64.00,0.00,0.00,99.2,55.52,-44.03
67048,"National Securities Depository Ltd",544467,"Miscellaneous",Small Cap,"Miscellaneous - Medium / Small",78.25,0.00,0.00,1275.4,919.55,-27.9
67061,"Transrail Lighting Ltd",TRANSRAILL,"Infrastructure Developers & Operators",Small Cap,"Engineering - Turnkey Services",90.25,0.00,0.00,779.9,553.55,-29.02
67729,"Anand Rathi Wealth Ltd",ANANDRATHI,"Finance",Small Cap,"Finance - Investment / Others",41.00,0.00,77.00,2803.95,3055.4,8.97
67886,"Bajaj Housing Finance Ltd",BAJAJHFL,"Finance",Mid Cap,"Finance - Housing - Large",39.50,0.00,26.50,112.95,87.62,-22.43
68099,"One Mobikwik Systems Ltd",MOBIKWIK,"E-Commerce/App based Aggregator",Small Cap,"E-Services",32.75,0.00,0.00,228.95,202.75,-11.44
68121,"Sai Life Sciences Ltd",SAILIFE,"Pharmaceuticals",Small Cap,"Pharmaceuticals - Indian - Formulations",76.75,0.00,0.00,925.15,924.65,-0.05
68148,"Swiggy Ltd",SWIGGY,"E-Commerce/App based Aggregator",Mid Cap,"E-Services",16.00,0.00,0.00,428.3,307.35,-28.24
68149,"Brainbees Solutions Ltd",FIRSTCRY,"Retail",Small Cap,"Trading - Medium / Small",52.00,0.00,37.00,383.35,210.5,-45.09
68245,"Allied Blenders & Distillers Ltd",ABDL,"Alcoholic Beverages",Small Cap,"Distilleries",37.75,0.00,78.00,521.75,490.45,-6
68827,"India Green Reality Ltd",540152,"Construction",Small Cap,"Construction - Factories / Offices / Commercial",16.25,0.00,0.00,5.24,5.24,0
68848,"5paisa Capital Ltd",5PAISA,"Stock/ Commodity Brokers",Small Cap,"Securities/Commodities Trading Services",45.25,0.00,16.50,372.05,324.5,-12.78
68966,"Yash Highvoltage Ltd",544310,"Capital Goods - Electrical Equipment",Small Cap,"Electric Equipment - General - Medium / Small",86.50,0.00,0.00,480.8,466.6,-2.95
69551,"TBO Tek Ltd",TBOTEK,"E-Commerce/App based Aggregator",Small Cap,"Travel Agencies",52.75,0.00,65.00,1444.2,1287.7,-10.84
69617,"Ecos (India) Mobility & Hospitality Ltd",ECOSMOBLTY,"Miscellaneous",Small Cap,"Transport - Road",66.50,0.00,28.50,292.4,148.35,-49.26
69655,"Travel Food Services Ltd",TRAVELFOOD,"Quick Service Restaurant",Small Cap,"Hotels - Medium",40.00,0.00,0.00,1219.4,1235.15,1.29
69686,"Brigade Hotel Ventures Ltd",BRIGHOTEL,"Hotels & Restaurants",Small Cap,"Hotels - Resorts",40.75,0.00,0.00,86.34,62.29,-27.85
69951,"Euro Panel Products Ltd",EUROBOND,"Non Ferrous Metals",Small Cap,"Aluminium - Sheets / Coils / Wires / Others",78.25,0.00,0.00,236.35,167.7,-29.05
70438,"Prabha Energy Ltd",PRABHA,"Crude Oil & Natural Gas",Small Cap,"Oil Exploration / Allied Services",25.75,0.00,0.00,255.5,180.6,-29.32
70666,"Adani Green Energy Ltd",ADANIGREEN,"Power Generation & Distribution",Large Cap,"Power Generation And Supply",52.25,0.00,16.50,958.05,964.4,0.66
71013,"Dr Agarwals Health Care Ltd",AGARWALEYE,"Healthcare",Small Cap,"Hospitals / Medical Services",56.25,0.00,0.00,455.5,450.9,-1.01
71404,"Dhruv Wellness Ltd",540695,"Trading",Small Cap,"Trading - Medium / Small",12.25,0.00,-3.00,5.06,4.58,-9.49
71480,"Pashupati Cotspin Ltd",PASHUPATI,"Textiles",Small Cap,"Textiles - Spinning/Cotton/Blended Yarn - Ring Spg",51.75,0.00,0.00,687.25,985.85,43.45
71563,"D.P. Abhushan Ltd",DPABHUSHAN,"Diamond, Gems and Jewellery",Small Cap,"Diamond Cutting / Jewellery - Medium / Small",84.50,0.00,52.50,1594.5,1193.65,-25.14
71578,"R M Drip & Sprinklers Systems Ltd",RMDRIP,"Plastic products",Small Cap,"Plastics - Drip Irrigation",62.25,0.00,0.00,72.87,97.95,34.42
71622,"Reliable Data Services Ltd",RELIABLE,"IT - Software",Small Cap,"IT Enabled Services / Business Process Outsourcing",75.75,0.00,83.00,94.36,143.6,52.18
71636,"ACME Solar Holdings Ltd",ACMESOLAR,"Infrastructure Developers & Operators",Small Cap,"Engineering - Turnkey Services",58.25,0.00,0.00,290.6,233.85,-19.53
71649,"SecUR Credentials Ltd",SECURCRED,"Miscellaneous",Small Cap,"Miscellaneous - Medium / Small",53.75,10.00,-6.00,1.63,1.63,0
71654,"Innovana Thinklabs Ltd",INNOVANA,"IT - Software",Small Cap,"Computers - Software - Medium / Small",81.50,0.00,0.00,507.6,433,-14.7
71706,"Inventurus Knowledge Solutions Ltd",IKS,"IT - Software",Small Cap,"IT Enabled Services / Business Process Outsourcing",78.00,0.00,0.00,1554.9,1430.6,-7.99
71865,"Home First Finance Company India Ltd",HOMEFIRST,"Finance",Small Cap,"Finance - Housing - Large",41.00,0.00,75.50,1307.65,1246,-4.71
72173,"Uravi Defence & Technology Ltd",URAVIDEF,"Auto Ancillaries",Small Cap,"Auto Ancillaries - Lamps",38.75,0.00,44.50,483.7,147.8,-69.44
