sector,stock_name,symbol,overall_score,return_pct,score_rank,return_rank,rank_deviation,rank_deviation_pct,bucket
"Chemicals","Dynamic Industries Ltd",524818,58.12,-11.71,98,55,43,26.54,"Rest"
"Chemicals","SRF Ltd",SRF,58.04,-10.38,100,53,47,29.01,"Rest"
"Chemicals","Resonance Specialities Ltd",524218,58.04,-1.29,100,28,72,44.44,"Rest"
"Chemicals","Chemfab Alkalis Ltd",CHEMFAB,58.04,-43.78,100,157,57,35.19,"Rest"
"Chemicals","Kesar Petroproducts Ltd",524174,57.80,-29.59,102,123,21,12.96,"Within 25%"
"Chemicals","Gujarat Narmada Valley Fertilizers & Chemicals Ltd",GNFC,57.69,-13.91,103,66,37,22.84,"Within 25%"
"Chemicals","Vivid Global Industries Ltd",524576,57.65,14.18,104,13,91,56.17,"Rest"
"Chemicals","Continental Petroleums Ltd",523232,57.62,-20.29,105,94,11,6.79,"Within 10%"
"Chemicals","Grauer & Weil (India) Ltd",GRAUWEIL,57.60,-30.54,106,128,22,13.58,"Within 25%"
"Chemicals","Plastiblends India Ltd",PLASTIBLEN,57.20,-23.04,107,103,4,2.47,"Within 10%"
"Chemicals","Primo Chemicals Ltd",PRIMO,56.69,-25.19,108,112,4,2.47,"Within 10%"
"Chemicals","Polson Ltd",507645,56.38,-7.67,109,47,62,38.27,"Rest"
"Chemicals","Godrej Industries Ltd",GODREJIND,56.32,-19.48,110,91,19,11.73,"Within 25%"
"Chemicals","Caprolactam Chemicals Ltd",507486,56.25,57.16,111,3,108,66.67,"Rest"
"Chemicals","Amines & Plasticizers Ltd",AMNPLST,56.20,-29.32,112,122,10,6.17,"Within 10%"
"Chemicals","Sudarshan Chemical Industries Ltd",SUDARSCHEM,56.13,-37.44,113,145,32,19.75,"Within 25%"
"Chemicals","Dai-ichi Karkaria Ltd",DAICHIKARK,55.90,-7.26,114,46,68,41.98,"Rest"
"Chemicals","J.G.Chemicals Ltd",JGCHEM,55.81,-27.58,115,119,4,2.47,"Within 10%"
"Chemicals","PCBL Chemical Ltd",PCBL,55.18,-19.40,116,90,26,16.05,"Within 25%"
"Chemicals","Sreechem Resins Ltd",514248,54.80,21.45,117,10,107,66.05,"Rest"
"Chemicals","DIC India Ltd",DICIND,54.62,-7.24,118,45,73,45.06,"Rest"
"Chemicals","Mysore Petro Chemicals Ltd",MYSORPETRO,54.26,-18.56,119.5,87,32.5,20.06,"Within 25%"
"Chemicals","Chemcrux Enterprises Ltd",540395,54.26,-16.99,119.5,79,40.5,25,"Within 25%"
"Chemicals","Polychem Ltd",POLYCHEM,54.08,-21.17,121,97,24,14.81,"Within 25%"
"Chemicals","BASF India Ltd",BASF,53.91,-23.45,122,107,15,9.26,"Within 10%"
"Chemicals","Emmessar Biotech & Nutrition Ltd",524768,53.70,-12.43,123,61,62,38.27,"Rest"
"Chemicals","Advance Petrochemicals Ltd",506947,53.35,-39.27,124,152,28,17.28,"Within 25%"
"Chemicals","Anupam Rasayan India Ltd",ANURAS,53.25,12.05,125,15,110,67.9,"Rest"
"Chemicals","Vikas Wsp Ltd",VIKASWSP,52.91,-18.05,126,84,42,25.93,"Rest"
"Chemicals","Jaysynth Orgochem Ltd",JDORGOCHEM,52.88,-33.65,127,138,11,6.79,"Within 10%"
"Chemicals","Bodal Chemicals Ltd",BODALCHEM,52.83,-29.77,128,124,4,2.47,"Within 10%"
"Chemicals","Lords Chloro Alkali Ltd",LORDSCHLO,52.80,-41.50,129,154,25,15.43,"Within 25%"
"Chemicals","Gujarat Alkalies & Chemicals Ltd",GUJALKALI,52.78,-16.70,130,78,52,32.1,"Rest"
"Chemicals","AksharChem (India) Ltd",AKSHARCHEM,52.76,-23.20,131,104,27,16.67,"Within 25%"
"Chemicals","Deepak Fertilisers & Petrochemicals Corp Ltd",DEEPAKFERT,52.67,-35.39,132,143,11,6.79,"Within 10%"
"Chemicals","Indokem Ltd",504092,52.27,39.64,133,6,127,78.4,"Rest"
"Chemicals","Seya Industries Ltd",SEYAIND,52.26,-24.03,134,108,26,16.05,"Within 25%"
"Chemicals","Veedol Corporation Ltd",VEEDOL,50.45,-15.05,135,69,66,40.74,"Rest"
"Chemicals","Patron Exim Ltd",543798,50.16,-61.62,136,161,25,15.43,"Within 25%"
"Chemicals","Link Pharma Chem Ltd",524748,49.81,-24.07,137,109,28,17.28,"Within 25%"
"Chemicals","Mangalam Organics Ltd",MANORG,49.35,-31.98,138,132.5,5.5,3.4,"Within 10%"
"Chemicals","Lime Chemicals Ltd",507759,49.34,-26.50,139,116,23,14.2,"Within 25%"
"Chemicals","IEL Ltd",524614,49.01,40.85,140,5,135,83.33,"Rest"
"Chemicals","Hindprakash Industries Ltd",HPIL,48.59,-3.47,141,34,107,66.05,"Rest"
"Chemicals","Ishan Dyes and chemicals Ltd",ISHANCH,48.35,-3.17,142,32,110,67.9,"Rest"
"Chemicals","Alkali Metals Ltd",ALKALI,48.31,-25.20,143,113,30,18.52,"Within 25%"
"Chemicals","Diamines & Chemicals Ltd",DIAMINESQ,48.28,-34.06,144,139,5,3.09,"Within 10%"
"Chemicals","Thirumalai Chemicals Ltd",TIRUMALCHM,47.70,-30.77,145,129,16,9.88,"Within 10%"
"Chemicals","Nikhil Adhesives Ltd",526159,47.46,-37.90,146,149,3,1.85,"Within 10%"
"Chemicals","Tulasee Bio-Ethanol Ltd",524514,47.20,67.29,147,2,145,89.51,"Rest"
"Chemicals","Chemiesynth (Vapi) Ltd",539230,46.98,4.99,148,18,130,80.25,"Rest"
"Chemicals","DDev Plastiks Industries Ltd",DDEVPLSTIK,46.71,-14.94,149,67,82,50.62,"Rest"
"Chemicals","Shreyas Intermediates Ltd",526335,46.33,-18.00,150,83,67,41.36,"Rest"
"Chemicals","Camlin Fine Sciences Ltd",CAMLINFINE,46.25,-34.10,151,140.5,10.5,6.48,"Within 10%"
"Chemicals","Yug Decor Ltd",540550,46.24,-25.79,152,114,38,23.46,"Within 25%"
"Chemicals","S H Kelkar & Company Ltd",SHK,46.04,-33.39,153,136.5,16.5,10.19,"Within 25%"
"Chemicals","Vipul Organics Ltd",530627,45.37,-3.38,154,33,121,74.69,"Rest"
"Chemicals","Amal Ltd",506597,45.32,-45.46,155,159,4,2.47,"Within 10%"
"Chemicals","Kemistar Corporation Ltd",531163,44.87,-4.47,156,35,121,74.69,"Rest"
"Chemicals","KKalpana Industries (India) Ltd",526409,44.20,-44.24,157,158,1,0.62,"Within 10%"
"Chemicals","Andhra Sugars Ltd",ANDHRSUGAR,43.51,-9.05,158,50,108,66.67,"Rest"
"Chemicals","C J Gelatine Products Ltd",507515,42.93,13.71,159,14,145,89.51,"Rest"
"Chemicals","Insilco Ltd",INSILCO,38.02,0.00,160,26,134,82.72,"Rest"
"Chemicals","Daikaffil Chemicals India Ltd",530825,37.33,-70.42,161,162,1,0.62,"Within 10%"
"Chemicals","Organic Coatings Ltd",531157,33.10,47.90,162,4,158,97.53,"Rest"
"Computer Education","NIIT Learning Systems Ltd",NIITMTS,74.18,2.42,1,1,0,0,"Exact Match"
"Computer Education","Zee Learn Ltd",ZEELEARN,68.26,-43.02,2,7,5,62.5,"Rest"
"Computer Education","Aptech Ltd",APTECHT,67.24,-32.68,3,5,2,25,"Within 25%"
"Computer Education","Jetking Infotrain Ltd",517063,54.41,-66.52,4,8,4,50,"Rest"
"Computer Education","Compucom Software Ltd",COMPUSOFT,53.19,-28.88,5,4,1,12.5,"Within 25%"
"Computer Education","Usha Martin Education & Solutions Ltd",UMESLTD,53.07,-18.45,6,3,3,37.5,"Rest"
"Computer Education","BITS Ltd",526709,48.68,-11.18,7,2,5,62.5,"Rest"
"Computer Education","NIIT Ltd",NIITLTD,42.21,-36.10,8,6,2,25,"Within 25%"
"Construction","Modis Navnirman Ltd",MODIS,84.39,13.42,1,8,7,14.89,"Within 25%"
"Construction","Generic Engineering Construction & Projects Ltd",GENCON,72.45,15.91,2,7,5,10.64,"Within 25%"
"Construction","SBL Infratech Ltd",543366,68.64,-1.93,3,22,19,40.43,"Rest"
"Construction","Ratnabhumi Developers Ltd",540796,68.54,12.05,4,10,6,12.77,"Within 25%"
"Construction","Nila Infrastructures Ltd",NILAINFRA,68.34,-27.39,5,34,29,61.7,"Rest"
"Construction","Supreme Holdings & Hospitality Ltd",SUPREME,66.26,-24.93,6,32,26,55.32,"Rest"
"Construction","Innovators Facade Systems Ltd",541353,65.40,-17.47,7,28,21,44.68,"Rest"
"Construction","SKIL Infrastructure Ltd",SKIL,60.94,-39.46,8,42,34,72.34,"Rest"
"Construction","Mount Housing & Infrastructure Ltd",542864,60.10,0.00,9,18.5,9.5,20.21,"Within 25%"
"Construction","B.L.Kashyap & Sons Ltd",BLKASHYAP,57.77,-33.89,10,40,30,63.83,"Rest"
"Construction","Setubandhan Infrastructure Ltd",SETUINFRA,57.54,-40.58,11,43,32,68.09,"Rest"
"Construction","PSP Projects Ltd",PSPPROJECT,57.44,11.69,12,11,1,2.13,"Within 10%"
"Construction","Athena Constructions Ltd",539099,55.85,-46.29,13,44,31,65.96,"Rest"
"Construction","Vascon Engineers Ltd",VASCONEQ,55.48,-24.10,14,30,16,34.04,"Rest"
"Construction","Consolidated Construction Consortium Ltd",CCCL,54.93,-11.24,15,26,11,23.4,"Within 25%"
"Construction","VKJ Infradevelopers Ltd",536128,52.32,-6.45,16,23,7,14.89,"Within 25%"
"Construction","Mahesh Developers Ltd",542677,52.28,0.00,17,18.5,1.5,3.19,"Within 10%"
"Construction","Vishvprabha Ventures Ltd",512064,52.01,-23.51,18,29,11,23.4,"Within 25%"
"Construction","Adhbhut Infrastructure Ltd",539189,51.67,-28.89,19,36,17,36.17,"Rest"
"Construction","SVS Ventures Ltd",543745,51.30,47.66,20,2,18,38.3,"Rest"
"Construction","Kretto Syscon Ltd",531328,51.27,-51.96,21,45,24,51.06,"Rest"
"Construction","Veer Global Infraconstruction Ltd",543241,50.34,-32.54,22,38,16,34.04,"Rest"
"Construction","Jet Solar Ltd",538794,49.65,-8.99,23,24,1,2.13,"Within 10%"
"Construction","Rajeswari Infrastructure Ltd",526823,49.43,10.71,24,12,12,25.53,"Rest"
"Construction","Man Infraconstruction Ltd",MANINFRA,49.35,-35.75,25,41,16,34.04,"Rest"
"Construction","Shreeshay Engineers Ltd",541112,49.14,-28.26,26,35,9,19.15,"Within 25%"
"Construction","Janus Corporation Ltd",542924,47.55,0.00,27,18.5,8.5,18.09,"Within 25%"
"Construction","Thakkers Developers Ltd",526654,46.21,-26.10,28,33,5,10.64,"Within 25%"
"Construction","Avishkar Infra Realty Ltd",508929,45.80,154.89,29,1,28,59.57,"Rest"
"Construction","Swasti Vinayaka Art & Heritage Corporation Ltd",512257,45.47,-9.92,30,25,5,10.64,"Within 25%"
"Construction","Alpine Housing Development Corporation Ltd",ALPINEHOU,45.40,-32.57,31,39,8,17.02,"Within 25%"
"Construction","Neo Infracon Ltd",514332,45.14,13.29,32,9,23,48.94,"Rest"
"Construction","Manjeera Constructions Ltd",MANJEERA,44.16,0.00,33,18.5,14.5,30.85,"Rest"
"Construction","Marg Ltd",MARG,43.87,0.00,34,18.5,15.5,32.98,"Rest"
"Construction","Prime Property Development Corporation Ltd",530695,43.76,-30.60,35,37,2,4.26,"Within 10%"
"Construction","Abhishek Infraventures Ltd",539544,42.84,0.59,36,15,21,44.68,"Rest"
"Construction","Ishaan Infrastructure & Shelters Ltd",540134,42.65,22.39,37,5,32,68.09,"Rest"
"Construction","Jaiprakash Associates Ltd",JPASSOCIAT,42.10,-24.62,38,31,7,14.89,"Within 25%"
"Construction","Narendra Properties Ltd",531416,40.37,-14.88,39,27,12,25.53,"Rest"
"Construction","Mahindra Lifespace Developers Ltd",MAHLIFE,39.37,7.20,40,13,27,57.45,"Rest"
"Construction","Yogi Infra Projects Ltd",522209,38.91,-65.33,41,47,6,12.77,"Within 25%"
"Construction","Shricon Industries Ltd",508961,38.54,17.46,42,6,36,76.6,"Rest"
"Construction","Modulex Construction Technologies Ltd",504273,37.98,3.37,43,14,29,61.7,"Rest"
"Construction","Gayatri Projects Ltd",GAYAPROJ,37.48,46.42,44,3,41,87.23,"Rest"
"Construction","Virya Resources Ltd",512479,36.10,0.00,45,18.5,26.5,56.38,"Rest"
"Construction","Purohit Construction Ltd",538993,32.91,32.08,46,4,42,89.36,"Rest"
"Construction","Parsvnath Developers Ltd",PARSVNATH,32.18,-56.39,47,46,1,2.13,"Within 10%"
"Consumer Durables","IFB Industries Ltd",IFBIND,80.15,-25.06,1,46,45,70.31,"Rest"
"Consumer Durables","Symphony Ltd",SYMPHONY,78.88,-13.16,2,26,24,37.5,"Rest"
"Consumer Durables","Havells India Ltd",HAVELLS,78.41,-8.97,3,24,21,32.81,"Rest"
"Consumer Durables","Comrade Appliances Ltd",543921,75.68,-60.38,4,64,60,93.75,"Rest"
"Consumer Durables","Hawkins Cookers Ltd",HAWKINCOOK,73.96,-18.24,5,32,27,42.19,"Rest"
"Consumer Durables","Crompton Greaves Consumer Electricals Ltd",CROMPTON,72.23,-16.91,6,30,24,37.5,"Rest"
"Consumer Durables","Voltas Ltd",VOLTAS,71.19,12.58,7,12,5,7.81,"Within 10%"
"Consumer Durables","Sheela Foam Ltd",SFL,70.03,-21.04,8,39,31,48.44,"Rest"
"Consumer Durables","Carysil Ltd",CARYSIL,69.94,1.23,9,18,9,14.06,"Within 25%"
"Consumer Durables","Virtuoso Optoelectronics Ltd",543597,69.29,-25.71,10,47,37,57.81,"Rest"
"Consumer Durables","IKIO Technologies Ltd",IKIO,68.77,-37.46,11,59,48,75,"Rest"
"Consumer Durables","Blue Star Ltd",BLUESTARCO,67.80,1.09,12,19,7,10.94,"Within 25%"
"Consumer Durables","Genus Power Infrastructures Ltd",GENUSPOWER,67.78,-27.00,13,49,36,56.25,"Rest"
"Consumer Durables","Avalon Technologies Ltd",AVALON,66.65,15.22,14,10,4,6.25,"Within 10%"
"Consumer Durables","Universus Photo Imagings Ltd",UNIVPHOTO,66.33,55.98,15,4,11,17.19,"Within 25%"
"Consumer Durables","Orient Electric Ltd",ORIENTELEC,66.12,-18.22,16,31,15,23.44,"Within 25%"
"Consumer Durables","Inflame Appliances Ltd",541083,65.97,44.29,17,5,12,18.75,"Within 25%"
"Consumer Durables","Stove Kraft Ltd",STOVEKRAFT,64.53,-26.95,18,48,30,46.88,"Rest"
"Consumer Durables","Kaynes Technology India Ltd",KAYNES,64.16,-37.01,19,57,38,59.38,"Rest"
"Consumer Durables","Epack Durable Ltd",EPACK,63.98,-35.45,20,56,36,56.25,"Rest"
"Consumer Durables","Whirlpool of India Ltd",WHIRLPOOL,63.41,-29.31,21,52,31,48.44,"Rest"
"Consumer Durables","MIC Electronics Ltd",MICEL,62.44,-20.75,22,38,16,25,"Within 25%"
"Consumer Durables","Butterfly Gandhimathi Appliances Ltd",BUTTERFLY,61.66,-18.31,23,33,10,15.63,"Within 25%"
"Consumer Durables","Tirupati Foam Ltd",540904,61.48,-16.86,24,29,5,7.81,"Within 10%"
"Consumer Durables","B C C Fuba India Ltd",517246,61.08,28.68,25,7,18,28.13,"Rest"
"Consumer Durables","Bosch Home Comfort India Ltd",BOSCH-HCIL,61.06,-18.89,26,36,10,15.63,"Within 25%"
"Consumer Durables","BPL Ltd",BPL,60.18,-33.95,27,54,27,42.19,"Rest"
"Consumer Durables","Hind Rectifiers Ltd",HIRECT,60.16,-16.38,28,28,0,0,"Exact Match"
"Consumer Durables","Dixon Technologies (India) Ltd",DIXON,60.15,-38.45,29,60,31,48.44,"Rest"
"Consumer Durables","Gorani Industries Ltd",531608,60.14,-21.64,30,41,11,17.19,"Within 25%"
"Consumer Durables","Bajaj Electricals Ltd",BAJAJELEC,60.13,-37.20,31,58,27,42.19,"Rest"
"Consumer Durables","Amber Enterprises India Ltd",AMBER,59.24,10.86,32,14,18,28.13,"Rest"
"Consumer Durables","Maruti Interior Products Ltd",543464,59.12,120.95,33,3,30,46.88,"Rest"
"Consumer Durables","KDDL Ltd",KDDL,58.76,-5.66,34,23,11,17.19,"Within 25%"
"Consumer Durables","Calcom Vision Ltd",517236,57.59,-18.33,35,34,1,1.56,"Within 10%"
"Consumer Durables","RIR Power Electronics Ltd",517035,57.19,-22.26,36,42,6,9.38,"Within 10%"
"Consumer Durables","Eureka Forbes Ltd",EUREKAFORB,56.13,-11.69,37,25,12,18.75,"Within 25%"
"Consumer Durables","PG Electroplast Ltd",PGEL,55.97,10.29,38,15,23,35.94,"Rest"
"Consumer Durables","Wonder Electricals Ltd",WEL,54.96,-4.07,39,22,17,26.56,"Rest"
"Consumer Durables","Aro Granite Industries Ltd",AROGRANITE,54.74,-27.04,40,50,10,15.63,"Within 25%"
"Consumer Durables","Global Surfaces Ltd",GSLSU,54.55,-21.35,41,40,1,1.56,"Within 10%"
"Consumer Durables","Elin Electronics Ltd",ELIN,54.46,-27.83,42,51,9,14.06,"Within 25%"
"Consumer Durables","Divyashakti Ltd",526315,53.63,-23.73,43,44,1,1.56,"Within 10%"
"Consumer Durables","Jaipan Industries Ltd",505840,52.76,-23.53,44,43,1,1.56,"Within 10%"
"Consumer Durables","Nidhi Granites Ltd",512103,52.30,12.17,45,13,32,50,"Rest"
"Consumer Durables","Timex Group India Ltd",TIMEXWATCH,52.01,3.98,46,16,30,46.88,"Rest"
"Consumer Durables","Atlas Cycles (Haryana) Ltd",ATLASCYCLE,51.50,-24.89,47,45,2,3.13,"Within 10%"
"Consumer Durables","Inani Marbles & Industries Ltd",531129,49.96,-35.40,48,55,7,10.94,"Within 25%"
"Consumer Durables","Videocon Industries Ltd",VIDEOIND,49.00,0.00,49,20,29,45.31,"Rest"
"Consumer Durables","MIRC Electronics Ltd",MIRCELECTR,47.26,3.73,50,17,33,51.56,"Rest"
"Consumer Durables","Pacific Industries Ltd",PACIFICIND,46.40,-30.68,51,53,2,3.13,"Within 10%"
"Consumer Durables","TTK Prestige Ltd",TTKPRESTIG,45.95,-18.80,52,35,17,26.56,"Rest"
"Consumer Durables","Glittek Granites Ltd",513528,45.91,669.24,53,1,52,81.25,"Rest"
"Consumer Durables","Madhav Marbles and Granites Ltd",MADHAV,45.77,-19.25,54,37,17,26.56,"Rest"
"Consumer Durables","Marble City India Ltd",531281,44.66,-41.39,55,61,6,9.38,"Within 10%"
"Consumer Durables","Incap Ltd",517370,44.65,26.32,56,8,48,75,"Rest"
"Consumer Durables","Neelkanth Rockminerals Ltd",531049,42.04,24.28,57,9,48,75,"Rest"
"Consumer Durables","Cosmo Ferrites Ltd",523100,41.45,-55.64,58,63,5,7.81,"Within 10%"
"Consumer Durables","Jain Marmo Industries Ltd",539119,40.70,-52.82,59,62,3,4.69,"Within 10%"
"Consumer Durables","Shashwat Furnishing Solutions Ltd",543519,39.30,35.70,60,6,54,84.38,"Rest"
"Consumer Durables","Shiva Granito Export Ltd",540072,37.56,-14.30,61,27,34,53.13,"Rest"
"Consumer Durables","Milestone Furniture Ltd",541337,36.21,176.85,62,2,60,93.75,"Rest"
"Consumer Durables","Ravi Leela Granites Ltd",526095,34.59,14.87,63,11,52,81.25,"Rest"
"Consumer Durables","Pokarna Ltd",POKARNA,31.85,-2.69,64,21,43,67.19,"Rest"
"Crude Oil & Natural Gas","Oil & Natural Gas Corpn Ltd",ONGC,74.73,17.39,1,2,1,12.5,"Within 25%"
"Crude Oil & Natural Gas","Hindustan Oil Exploration Company Ltd",HINDOILEXP,72.26,-21.58,2,6,4,50,"Rest"
"Crude Oil & Natural Gas","Aban Offshore Ltd",ABAN,67.59,-59.77,3,8,5,62.5,"Rest"
"Crude Oil & Natural Gas","Asian Energy Services Ltd",ASIANENE,65.93,-9.89,4,5,1,12.5,"Within 25%"
"Crude Oil & Natural Gas","Antelopus Selan Energy Ltd",ANTELOPUS,57.31,-1.65,5,4,1,12.5,"Within 25%"
"Crude Oil & Natural Gas","Deep Industries Ltd",DEEPINDS,56.82,-36.29,6,7,1,12.5,"Within 25%"
