Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
MID150.BSE_IDX,01/07/2025,09:00:07,16394.98,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:00:15,16351.01,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:00:23,16349.17,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:00:31,16350.02,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:00:39,16350.8,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:00:47,16333.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:00:55,16333.25,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:03,16335.29,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:11,16342.99,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:19,16350.17,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:27,16348.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:35,16339.07,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:43,16346.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:51,16343.41,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:01:59,16342.7,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:07,16342.79,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:15,16342.13,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:23,16336.07,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:31,16344.93,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:39,16343.5,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:47,16340.03,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:02:55,16340.57,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:03,16340.19,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:11,16341.29,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:19,16343.16,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:27,16343.06,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:35,16342.41,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:43,16349.55,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:51,16336.97,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:03:59,16342.81,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:07,16341.66,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:15,16341.59,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:23,16341.47,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:31,16346.74,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:39,16348.7,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:47,16349.03,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:04:55,16349.07,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:03,16351.08,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:11,16352.2,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:19,16354.08,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:27,16346.9,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:35,16347.57,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:43,16346.96,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:51,16348.24,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:05:59,16352.62,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:07,16348.33,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:15,16346.88,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:23,16348.32,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:31,16351.38,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:39,16357.4,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:47,16346.31,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:06:55,16349.43,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:04,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:11,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:19,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:27,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:35,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:43,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:51,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:07:59,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:07,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:15,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:23,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:31,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:39,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:47,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:08:55,16358.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:03,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:11,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:19,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:27,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:35,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:43,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:51,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:09:59,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:07,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:15,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:23,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:31,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:39,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:47,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:10:55,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:03,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:11,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:19,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:27,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:35,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:43,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:51,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:11:59,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:07,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:16,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:23,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:31,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:39,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:47,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:12:55,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:03,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:11,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:19,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:27,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:35,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:43,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:51,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:13:59,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:07,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:15,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:23,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:31,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:39,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:47,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:14:55,16355.95,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:04,16354.6,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:11,16349.66,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:19,16346.25,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:27,16335.9,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:35,16339.65,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:43,16339.42,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:51,16339.6,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:15:59,16336.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:07,16337.44,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:15,16340.12,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:24,16341.35,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:31,16343.96,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:39,16342.89,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:48,16346.15,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:16:55,16346.68,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:03,16343.89,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:12,16342.17,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:19,16342.11,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:27,16341.33,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:35,16342.2,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:44,16344.28,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:51,16342.62,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:17:59,16345.14,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:07,16345.64,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:15,16341.62,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:23,16341.85,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:31,16339.59,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:39,16339.83,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:47,16338.27,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:18:56,16339.9,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:03,16338.64,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:11,16337.73,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:19,16338.72,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:28,16338.14,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:35,16338.11,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:43,16335.99,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:52,16334.39,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:19:59,16333.99,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:07,16333.86,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:15,16333.37,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:24,16329.72,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:31,16329.67,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:39,16327.32,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:47,16326.83,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:20:55,16324.89,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:03,16325.91,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:11,16325.75,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:19,16331.13,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:27,16330.99,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:36,16332.33,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:43,16331.66,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:51,16331.93,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:21:59,16332.55,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:22:07,16333.72,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:22:15,16334.29,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:22:23,16335.02,0,0,0,0,0,0
MID150.BSE_IDX,01/07/2025,09:22:31,16334.69,0,0,0,0,0,0
