Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
BSE500.BSE_IDX,01/07/2025,09:00:07,37198.35,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:00:15,37183.46,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:00:23,37177.59,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:00:31,37191.77,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:00:39,37169.66,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:00:47,37137.23,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:00:55,37138.75,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:03,37143.4,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:11,37146.84,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:19,37161.83,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:27,37155.5,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:35,37136.6,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:43,37132.56,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:51,37110.51,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:01:59,37119.51,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:07,37122.92,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:15,37125.01,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:23,37120.04,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:31,37129.41,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:39,37132.83,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:47,37120.66,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:02:55,37121.33,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:03,37140.13,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:11,37136.29,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:19,37134.3,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:27,37126.9,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:35,37128.79,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:43,37125.53,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:51,37113.92,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:03:59,37099.85,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:07,37096.72,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:15,37092.48,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:23,37093.35,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:31,37093.64,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:39,37092.52,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:47,37085.37,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:04:55,37077.26,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:05:03,37077.67,0,0,0,0,0,0
BSE500.BSE_IDX,01/07/2025,09:05:11,37076.28,0,0,0,0,0,0
