Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
SNXT50.BSE_IDX,01/07/2025,09:00:07,85754.54,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:00:15,85761.93,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:00:23,85860.94,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:00:31,85823.64,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:00:39,85867.23,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:00:47,85769.2,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:00:55,85777.94,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:03,85785.73,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:11,85830.98,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:19,85995.45,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:27,86074.77,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:35,85989.33,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:43,85965.23,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:51,85867.27,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:01:59,85627.92,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:07,85627.92,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:15,85628.83,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:23,85620.27,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:31,85609.57,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:39,85615.24,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:47,85429.51,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:02:55,85438.56,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:03,85657.84,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:11,85648.71,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:19,85748.5,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:27,85690.06,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:35,85705.37,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:43,85748.82,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:51,85668.09,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:03:59,85737.34,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:07,85716.17,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:15,85716.17,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:23,85711.2,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:31,85713.71,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:39,85732.74,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:47,85734.7,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:04:55,85735.22,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:03,85743.97,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:11,85753.92,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:19,85780.7,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:27,85740.26,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:35,85741.23,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:43,85745.82,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:51,85746.85,0,0,0,0,0,0
SNXT50.BSE_IDX,01/07/2025,09:05:59,85736.81,0,0,0,0,0,0
